City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Fort Nelson,CA,2021-04-07 19:35:44,58.8053,-122.7002,15.8,73,90,13.8
151,Callaway,US,2021-04-07 19:35:44,30.153,-85.5699,75.99,64,63,7.0
152,Boryslav,UA,2021-04-07 19:35:45,49.2867,23.4324,30.0,82,57,6.02
153,Beyneu,KZ,2021-04-07 19:35:45,45.3167,55.2,56.43,37,100,3.87
154,Arlit,NE,2021-04-07 19:35:00,18.7369,7.3853,88.77,5,100,10.45
155,Sao Joao Da Barra,BR,2021-04-07 19:33:53,-21.6403,-41.0511,75.2,83,75,9.08
156,Esso,RU,2021-04-07 19:35:46,55.9333,158.7,9.18,99,97,2.89
157,Fortuna,US,2021-04-07 19:31:11,40.5982,-124.1573,52.0,81,90,8.05
158,Dongsheng,CN,2021-04-07 19:35:46,39.8161,109.9776,42.78,28,84,4.03
159,Thompson,CA,2021-04-07 19:34:29,55.7435,-97.8558,44.6,45,20,8.05
160,Olinda,BR,2021-04-07 19:35:46,-8.0089,-34.8553,82.4,65,20,13.8
161,Ribeira Grande,PT,2021-04-07 19:30:55,38.5167,-28.7,60.8,88,75,23.02
162,Polson,US,2021-04-07 19:35:47,47.6936,-114.1632,64.0,32,87,7.0
163,Hobart,AU,2021-04-07 19:34:44,-42.8794,147.3294,59.0,67,88,11.5
164,Lorengau,PG,2021-04-07 19:31:33,-2.0226,147.2712,82.17,75,100,10.83
165,Rodino,RU,2021-04-07 19:35:47,52.5,80.25,31.59,76,0,3.91
166,Le Chambon-Feugerolles,FR,2021-04-07 19:35:48,45.3969,4.3259,37.4,41,0,1.14
167,Caarapo,BR,2021-04-07 19:35:48,-22.6342,-54.8222,85.46,42,96,10.33
168,San Patricio,US,2021-04-07 19:35:48,28.017,-97.5169,81.0,69,90,9.22
169,Touros,BR,2021-04-07 19:35:49,-5.1989,-35.4608,86.0,66,40,11.5
170,Catamarca,AR,2021-04-07 19:34:19,-28.4696,-65.7852,80.01,78,100,11.01
