City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
515,Muroto,JP,33.2833,134.15,58.48,55,23,6.71,few clouds
516,Dukat,RU,62.55,155.55,-12.78,99,89,3.91,overcast clouds
517,Conakry,GN,9.538,-13.6773,89.6,62,40,13.8,light rain
518,Tezu,IN,27.9167,96.1667,73.62,34,1,5.21,clear sky
519,Semey,KZ,50.4111,80.2275,39.2,89,64,1.05,broken clouds
520,Kimbe,PG,-5.5502,150.1429,75.22,93,98,2.08,overcast clouds
521,Olafsvik,IS,64.8945,-23.7142,32.29,94,100,16.4,light snow
522,Mandalgovi,MN,45.7625,106.2708,39.76,34,3,8.12,clear sky
523,Barentu,ER,15.1139,37.5928,89.37,24,57,9.66,broken clouds
524,Mandla,IN,22.6,80.3833,85.59,16,50,1.25,scattered clouds
525,Kenai,US,60.5544,-151.2583,10.4,72,1,4.61,clear sky
526,Kamenka,RU,51.3223,42.7678,48.0,85,82,4.0,broken clouds
527,Rudbar,AF,30.15,62.6,73.94,12,0,2.44,clear sky
528,Rio Bananal,BR,-19.265,-40.3333,73.85,84,99,10.07,light rain
529,Bowen,AU,-20.0167,148.2333,71.6,94,38,4.61,scattered clouds
530,Exeter,GB,50.7236,-3.5275,44.6,57,75,11.5,broken clouds
531,Mazagao,BR,-0.115,-51.2894,82.4,89,90,5.75,light rain
532,Turka,UA,49.1541,23.0297,30.99,80,100,3.31,light snow
533,Whitefish,US,48.4111,-114.3376,54.0,49,1,5.75,clear sky
534,Pasni,PK,25.2631,63.471,82.35,43,0,13.98,clear sky
535,Lavrentiya,RU,65.5833,-171.0,-12.5,95,67,6.29,broken clouds
536,Carira,BR,-10.3608,-37.7011,89.2,37,96,15.37,overcast clouds
537,Mehamn,NO,71.0357,27.8492,35.6,69,20,25.32,few clouds
538,Vao,NC,-22.6667,167.4833,75.45,70,24,12.97,few clouds
539,Leduc,CA,53.2668,-113.552,53.01,40,85,9.22,overcast clouds
540,Naifaru,MV,5.4444,73.3657,83.39,68,90,6.4,overcast clouds
541,Cedar City,US,37.6775,-113.0619,62.01,16,1,5.46,clear sky
542,San Juan,AR,-31.5375,-68.5364,86.14,37,6,6.13,clear sky
543,Moindou,NC,-21.6924,165.677,71.6,88,90,2.3,overcast clouds
544,Upata,VE,8.0086,-62.3989,85.6,50,97,5.35,overcast clouds
545,Chegutu,ZW,-18.1302,30.1407,66.09,44,0,9.57,clear sky
546,Thessalon,CA,46.2501,-83.5666,57.2,67,1,9.22,clear sky
547,Bogorodskoye,RU,56.55,37.8833,38.97,96,100,10.63,moderate rain
548,Karla,EE,59.3723,24.9275,37.99,70,40,4.61,scattered clouds
549,Makamba,BI,-4.1348,29.804,63.05,91,96,1.77,light rain
550,San Cristobal,VE,7.7669,-72.225,89.6,45,40,18.41,scattered clouds
551,Timbiras,BR,-4.2553,-43.9406,90.88,40,22,4.83,few clouds
552,Pinsk,BY,52.1229,26.0951,35.28,61,65,7.92,broken clouds
553,Bend,US,44.0582,-121.3153,59.0,26,1,17.27,clear sky
554,Nizhniy Tsasuchey,RU,50.5167,115.1333,37.74,48,11,5.08,few clouds
555,Lae,PG,-6.7221,146.9847,76.08,86,92,6.8,overcast clouds
556,Tongren,CN,27.7172,109.1853,52.54,93,98,4.61,light rain
557,Oussouye,SN,12.485,-16.5469,102.2,29,0,4.61,clear sky
558,Galesong,ID,-5.3166,119.3661,73.4,94,40,2.3,scattered clouds
